CD_MUNICIPIO;NR_ZONA;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;QT_VOTOS_TERCEIRA_VIA
2003;67;168;471;0.0
2550;1;4507;7807;0.0
2550;37;3497;3142;0.0
2550;65;4983;3771;0.0
2070;35;204;1498;0.0
2550;37;4925;5302;0.0
2992;6;28;278;0.0
2771;24;44;278;0.0
2097;18;68;96;0.0
2739;47;73;568;0.0
2038;33;54;179;0.0
2046;31;163;418;0.0
2518;12;225;250;0.0
2852;27;128;107;0.0
2232;23;289;380;0.0
2917;22;58;231;0.0
2216;21;223;754;0.0
2712;44;82;454;0.0
2372;30;109;454;0.0
2658;35;72;636;0.0
2330;10;130;148;0.0
2178;15;147;167;0.0
2496;41;132;811;0.0
2070;35;220;1233;0.0
2003;67;189;467;0.0
2690;4;1378;511;0.0
2550;2;2657;2168;0.0
2593;49;38;400;0.0
2917;22;36;427;0.0
2003;67;301;467;0.0
98418;51;454;550;0.0
2755;22;111;746;0.0
98450;27;99;272;0.0
2356;17;1015;1352;0.0
98418;51;424;1142;0.0
2550;63;5670;10409;0.0
98493;60;44;182;0.0
98493;60;45;314;0.0
2020;45;143;278;0.0
2399;45;178;725;0.0
2852;27;178;449;0.0
2372;30;66;435;0.0
98477;36;634;1738;0.0
2690;4;806;2355;0.0
2933;6;54;259;0.0
2674;29;82;614;0.0
2534;6;1342;2822;0.0
2550;63;4650;8171;0.0
2259;8;625;2221;0.0
2070;35;313;1218;0.0
2399;45;133;548;0.0
2550;32;3849;6643;0.0
2950;54;61;464;0.0
98493;60;65;52;0.0
2917;22;54;83;0.0
2313;46;73;535;0.0
2810;9;642;1594;0.0
98370;69;20;252;0.0
98353;56;984;1638;0.0
2739;47;124;722;0.0
2550;62;6738;6917;0.0
2550;63;7061;7549;0.0
2836;19;309;172;0.0
2810;9;427;1841;0.0
2615;5;292;1661;0.0
98396;23;57;584;0.0
2216;21;155;441;0.0
98353;56;641;1883;0.0
2232;23;283;689;0.0
2550;65;6870;6666;0.0
98418;51;403;1226;0.0
2313;46;72;125;0.0
2550;32;5303;9477;0.0
98450;27;55;345;0.0
2755;22;65;655;0.0
2135;20;178;191;0.0
2291;11;116;849;0.0
2194;13;73;476;0.0
2550;40;3807;6548;0.0
98434;68;268;894;0.0
2011;34;112;85;0.0
2550;40;4093;3046;0.0
2852;27;110;360;0.0
2020;45;191;581;0.0
2534;6;795;3326;0.0
2550;2;3627;3775;0.0
2976;5;68;347;0.0
2410;3;708;2619;0.0
2836;19;167;872;0.0
2534;6;939;890;0.0
2275;7;79;166;0.0
2712;44;56;98;0.0
2895;60;49;287;0.0
2097;18;77;326;0.0
2135;20;131;583;0.0
2453;48;33;139;0.0
2852;27;123;291;0.0
2119;26;176;162;0.0
2178;15;197;892;0.0
98477;36;385;1251;0.0
2011;34;146;475;0.0
2917;22;30;358;0.0
2178;15;82;740;0.0
2216;21;184;186;0.0
2895;60;58;104;0.0
2119;26;130;650;0.0
2330;10;83;730;0.0
2577;16;281;1021;0.0
2550;37;3391;5608;0.0
2550;65;4330;6924;0.0
2178;15;100;1088;0.0
2674;29;69;472;0.0
2313;46;47;410;0.0
2550;31;2823;5315;0.0
2976;5;69;59;0.0
2992;6;50;51;0.0
2372;30;73;260;0.0
2194;13;111;109;0.0
2836;19;278;930;0.0
2658;35;181;805;0.0
2739;47;50;669;0.0
2550;31;3348;6768;0.0
98434;68;282;980;0.0
2550;1;2861;4932;0.0
2372;30;94;81;0.0
2437;24;80;59;0.0
2011;34;86;251;0.0
2631;43;160;536;0.0
2577;16;271;1377;0.0
2550;62;4235;7544;0.0
2496;41;84;888;0.0
2232;23;234;1345;0.0
2852;27;87;507;0.0
2135;20;77;916;0.0
2356;17;601;1234;0.0
2038;33;59;406;0.0
98396;23;100;415;0.0
2895;60;72;464;0.0
98418;51;694;1066;0.0
2453;48;37;179;0.0
2771;24;66;201;0.0
98515;47;78;360;0.0
2755;22;155;1006;0.0
2054;42;60;71;0.0
2739;47;59;884;0.0
2275;7;63;722;0.0
